V1	V8	V9	V10	Q46	Q51	Q57	Q1	Q42	Q2_1	Q2_2	Q2_3	Q2_4	Q36_1	Q36_2	Q36_3	Q36_4	Q59_1	Q59_2	Q60_1	Q60_2	Q56	Q37_1	Q37_2	Q37_3	Q37_4	Q38	Q40	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q53	Q54	Q55	Q43	Q42.0	Q43.0	Q13_1	Q13_2	Q13_3	Q13_4	Q13_5	Q13_6	Q13_7	Q13_8	Q13_9	Q13_10	Q13_11	Q13_12	Q13_13	Q13_14	Q13_15	Q50	Q29	Q30	Q52_1	Q52_2	Q19	Q14	Q15	Q16	Q17	Q17_TEXT	Q18	Q3	Q20	Q21	Q22	Q23	Q24	Q25	Q26	Q27	Q28	Q33	Q39	Q44	Q34	Q41	Q35
R_08wDkRHduaGETPv	4-7-2016__8:38:31_PM	4-7-2016__8:49:15_PM	1	1	1	2	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	I dont know enough about it- dont have a comp sci background	2	NA	1	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	4	3	3	4	4	6	6	6	6	6	6	6	2	6	6	NA	2	NA	2	3	1	1	5	2	2	NA	25	1	1	1	2	1	1	Life Sciences	1	1	NA	NA	NA	NA	NA	NA	NA
R_3m4WUrpSdJ1Hgjd	4-6-2016__12:12:01_PM	4-6-2016__12:20:34_PM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	Currently the major course that I teach is so full of other required material. Ill need to offer an elective to substantially discuss Bioinformatics.	2	NA	1	"We currently dont have anyone who feels qualified to build an entire course around the topic, and, frankly, modifying an existing course requires time that we currently dont have to donate. There is definitely an activation energy barrier."	2	NA	2	NA	NA	NA	NA	NA	NA	1	3	2	4	5	5	4	3	4	2	1	2	2	1	1	4	NA	1	"If students are expected to be able to work on course-work at home, they need access to software on their personal computers. Many of my students have a Microsoft Surface instead of a laptop or no computer at all. The tech buy-in for students is expensive I havent been able to envision a course set-up yet that get around this hurdle. Im open to ideas!"	2	5	1	1	5	2	4	NA	6	3	1	2	2	2	2	Department of Biology	2	2	NA	"No formal training/background in the discipline. This makes it incredibly challenging and intimidating to build a course. Therefore, we simply keep saying yeah we need a course like that, and never do it."	NA	NA	NA	NA	NA
R_1ePD0K2nbmp5Ge0	4-6-2016__3:40:53_PM	4-6-2016__3:52:29_PM	1	1	1	1	2	1	NA	NA	NA	NA	1	1	1	1	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	2	1	"insufficient student interest, insufficient instructor expertise and time"	2	NA	2	NA	NA	NA	NA	NA	NA	1	5	4	4	5	5	5	4	5	4	4	4	4	3	4	4	NA	2	NA	4	5	1	1	2	2	4	NA	18	3	1	3	2	1	1	Department of Biology	1	2	Introductory Biology: Molecular Perspectives (Biology department): Introduction to cell and molecular biology and genetics. This is the foundational molecular biology course for life science majors. Genetics (Biology department): covers fundamental princples of inheritance in prokaryotes and eukaryotes with emphasis on molecular genetics.  Genomics (Biology department): Research-based course in which students use a variety of genomics tools to investigate a specific research problem.	"Many of us have had limited formal training in bioinformatics, and keeping our expertise current can be a challenge. sIt has been somewhat challenging for me (in a small institution with relatively low student population) to convince enough students of th importance of bioinformatics to get my upper-level courses to make."	NA	NA	NA	NA	NA
R_4MzJajYlwEpAJEx	4-26-2016__9:39:03_AM	4-26-2016__9:46:07_AM	1	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	5	2	4	NA	9	8	1	3	3	1	1	Department of Biology	1	2	NA	NA	NA	NA	NA	NA	"Im not convinced bioinformatics needs to be integrated with the life science curriculum.  I do think there should be more emphasis on statistics and that undergrad life science majors should know what bioinformatics is, but integrating it into the whole urriculum seems excessive."
R_77NkjRqU4aGAuA5	4-19-2016__2:20:27_PM	4-19-2016__2:25:13_PM	1	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	5	2	2	NA	29	1	1	1	3	2	2	Department of BIOLOGY	1	6	NA	NA	NA	NA	NA	NA	NA
R_082wy23ZZIV5K4t	4-25-2016__10:39:44_AM	4-25-2016__10:46:53_AM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	1	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	4	4	3	4	5	2	2	2	2	2	2	4	3	3	2	NA	2	NA	2	5	1	2	5	2	4	NA	19	2	1	3	3	2	2	Biology	2	4	NA	Limited skill sets of faculty trained before 2000.	NA	NA	NA	NA	NA
R_0Do4OHu6c622XSB	4-25-2016__2:17:21_PM	4-25-2016__2:24:01_PM	1	1	1	1	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	5	2	5	5	5	5	5	5	4	4	5	5	3	3	5	NA	NA	NA	2	5	1	1	5	2	4	NA	19	2	1	3	2	1	1	biological science	3	3	NA	We have very little computer support.  If I find a new program to try no one is available to help learn the program.  My administration will not purchase computer software that I already know how to use. I must buy all my own programs.	NA	NA	NA	NA	NA
R_ex1NwwX1Lwi6HU9	4-25-2016__2:47:39_PM	4-25-2016__2:57:57_PM	1	1	1	2	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	1	1	"time, hardware/software and my limited experience with current use of bioinformatics"	2	NA	3	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	4	2	3	3	3	3	3	3	3	2	3	3	2	2	3	I have very little experience in bioinformatics	1	"Resources are very limited.  We can check out laptops for our students for class work, but software is limited.  Some of our students do not even own computers."	3	4	1	2	5	2	2	NA	6	1	1	1	1	2	2	Department of Biology	2	6	NA	Lack of training by some instructors and lack of software/hardware resources at the college	NA	NA	NA	NA	NA
R_20qfoDGFsrjYwmN	4-25-2016__10:35:20_AM	4-25-2016__10:40:17_AM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	lack of developed lesson plans	3	NA	1	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	4	4	4	4	4	4	4	4	4	4	4	4	3	3	4	NA	1	Computer labs	3	5	1	1	5	2	4	NA	22	2	1	4	1	3	3	Biological Sciences	3	4	NA	Rapidly advancing technology	NA	NA	NA	NA	NA
R_bfGFxP0JhnuZk1f	4-25-2016__7:57:12_PM	4-25-2016__8:08:26_PM	1	1	1	1	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	3	3	3	5	5	3	4	5	5	4	4	4	3	5	3	"Understand the basic molecular aspects of genome evolution, and gene expression that dictate how macromolecular sequences are analyzed"	NA	NA	3	4	1	2	5	2	4	NA	32	2	1	4	3	3	3	Department of Biological Sciences	3	3	NA	The rate of change in experimental and computational approaches	NA	NA	NA	NA	NA
